5.447    Acceleration: <-3.045, 3.492, -0.151>
5.463    Acceleration: <-1.550, 4.364, 2.336>
5.478    Acceleration: <-1.304, 4.017, 1.138>
5.494    Acceleration: <0.325, 3.043, 2.057>
5.510    Acceleration: <-0.105, 2.782, 3.599>
5.525    Acceleration: <0.021, 2.109, 5.726>
5.541    Acceleration: <0.348, 1.364, 6.809>
5.558    Acceleration: <0.302, 0.344, 7.857>
5.573    Acceleration: <-0.831, -1.005, 7.650>
5.589    Acceleration: <-1.144, -1.701, 8.414>
5.605    Acceleration: <-0.878, -1.809, 8.735>
5.620    Acceleration: <-0.922, -2.225, 8.535>
5.636    Acceleration: <-4.855, -4.166, 7.063>
5.652    Acceleration: <-5.898, -4.834, 8.461>
5.667    Acceleration: <-5.929, -5.113, 10.097>
5.682    Acceleration: <-5.515, -5.112, 12.060>
5.698    Acceleration: <-6.120, -4.994, 13.800>
5.713    Acceleration: <-5.630, -4.902, 14.864>
5.729    Acceleration: <-5.097, -4.531, 15.566>
5.744    Acceleration: <-3.926, -3.915, 15.056>
5.760    Acceleration: <-3.414, -3.802, 14.160>
5.775    Acceleration: <-3.354, -3.249, 13.368>
5.790    Acceleration: <-3.336, -2.452, 13.445>
5.806    Acceleration: <-3.026, 0.128, 11.081>
5.821    Acceleration: <-2.034, 3.286, 6.836>
5.838    Acceleration: <0.222, 6.548, 1.038>
5.854    Acceleration: <1.010, 8.735, -1.415>
5.869    Acceleration: <1.854, 10.661, -4.147>
5.885    Acceleration: <1.121, 12.333, -10.661>
5.899    Acceleration: <-4.681, 9.521, -21.470>
5.912    Acceleration: <-19.287, 4.319, -48.789>
5.924    Acceleration: <-19.136, 6.551, -50.867>
5.937    Acceleration: <-14.008, 8.051, -45.296>
5.952    Acceleration: <-1.310, 11.152, -26.950>
5.968    Acceleration: <4.149, 12.077, -17.205>
5.985    Acceleration: <4.134, 12.893, -14.928>
6.000    Acceleration: <1.469, 10.605, -10.365>
6.016    Acceleration: <-0.696, 8.144, -6.513>
6.032    Acceleration: <-3.715, 4.329, -1.690>
6.047    Acceleration: <-9.783, -5.607, 8.250>
6.063    Acceleration: <-17.535, -13.588, 19.973>
6.078    Acceleration: <-22.169, -17.479, 33.768>
6.092    Acceleration: <-23.976, -13.952, 43.636>
6.107    Acceleration: <-18.388, -11.251, 38.974>
6.123    Acceleration: <-16.021, -7.743, 31.867>
6.138    Acceleration: <-10.691, -2.362, 17.092>
6.154    Acceleration: <-7.355, -0.046, 10.874>
6.170    Acceleration: <-1.127, 3.795, 3.778>
6.185    Acceleration: <0.061, 5.771, 2.823>
6.201    Acceleration: <-2.185, 8.227, -1.779>
6.217    Acceleration: <-4.209, 10.512, -10.202>
6.233    Acceleration: <-4.209, 10.512, -10.202>
6.249    Acceleration: <-5.227, 8.717, -22.226>
6.265    Acceleration: <-6.390, 9.298, -47.015>
6.280    Acceleration: <-1.687, 11.677, -47.806>
6.296    Acceleration: <8.219, 15.274, -31.928>
6.313    Acceleration: <4.729, 12.207, -19.421>
6.328    Acceleration: <1.067, 11.378, -14.678>
6.344    Acceleration: <-1.661, 7.009, -5.443>
6.361    Acceleration: <-4.733, 2.505, 3.907>
6.376    Acceleration: <-7.717, -0.772, 9.377>
6.391    Acceleration: <-16.720, -10.938, 33.413>
6.407    Acceleration: <-18.775, -12.081, 42.136>
6.421    Acceleration: <-20.562, -10.859, 50.906>
6.436    Acceleration: <-19.105, -10.555, 47.816>
6.452    Acceleration: <-18.562, -7.848, 38.717>
6.467    Acceleration: <-11.569, -2.114, 15.929>
6.482    Acceleration: <-5.733, 2.097, -0.862>
6.498    Acceleration: <-4.764, 7.947, -7.614>
6.514    Acceleration: <-2.084, 10.605, -15.228>
6.529    Acceleration: <-1.582, 11.288, -36.012>
6.545    Acceleration: <-3.345, 10.921, -47.401>
6.562    Acceleration: <-0.746, 15.664, -59.535>
6.577    Acceleration: <3.937, 15.457, -49.755>
6.593    Acceleration: <3.045, 12.025, -23.038>
6.609    Acceleration: <-0.071, 9.850, -13.052>
6.625    Acceleration: <-2.030, 6.590, -5.162>
6.641    Acceleration: <-10.418, -5.134, 18.769>
6.657    Acceleration: <-10.418, -5.134, 18.769>
6.671    Acceleration: <-20.891, -8.163, 49.752>
6.686    Acceleration: <-20.356, -7.638, 56.806>
6.702    Acceleration: <-17.811, -8.862, 49.625>
6.717    Acceleration: <-18.175, -6.590, 38.197>
6.733    Acceleration: <-14.869, -1.714, 13.627>
6.749    Acceleration: <-10.988, 0.283, 4.192>
6.764    Acceleration: <-2.976, 5.326, -5.628>
6.780    Acceleration: <-3.806, 10.718, -9.801>
6.796    Acceleration: <-4.556, 12.055, -14.805>
6.809    Acceleration: <-1.019, 15.957, -35.958>
6.824    Acceleration: <-0.556, 20.488, -61.556>
6.838    Acceleration: <10.221, 22.230, -50.407>
6.853    Acceleration: <5.679, 17.175, -21.592>
6.869    Acceleration: <-3.887, 9.887, -6.056>
6.885    Acceleration: <-5.346, 6.825, -2.227>
6.900    Acceleration: <-7.266, -1.293, 7.680>
6.914    Acceleration: <-15.928, -10.814, 23.033>
6.928    Acceleration: <-23.173, -15.424, 41.087>
6.940    Acceleration: <-24.015, -13.278, 48.877>
6.953    Acceleration: <-20.009, -13.769, 43.638>
6.969    Acceleration: <-16.969, -6.481, 24.118>
6.984    Acceleration: <-15.041, -3.969, 14.583>
7.000    Acceleration: <-9.587, 1.385, -0.397>
7.016    Acceleration: <-6.702, 4.129, -5.901>
7.031    Acceleration: <-1.021, 11.582, -14.782>
7.045    Acceleration: <10.462, 22.488, -36.459>
7.059    Acceleration: <12.692, 24.149, -41.627>
7.073    Acceleration: <12.233, 23.507, -35.353>
7.089    Acceleration: <10.278, 21.352, -25.805>
7.105    Acceleration: <6.381, 18.153, -17.104>
7.120    Acceleration: <1.703, 14.670, -10.059>
7.135    Acceleration: <-5.172, 5.418, 2.240>
7.151    Acceleration: <-6.977, 1.836, 5.722>
7.167    Acceleration: <-13.023, -5.522, 15.214>
7.182    Acceleration: <-14.658, -10.128, 27.809>
7.198    Acceleration: <-13.313, -9.866, 31.797>
7.214    Acceleration: <-11.134, -9.057, 27.477>
7.229    Acceleration: <-9.144, -7.127, 21.666>
7.245    Acceleration: <-5.591, -1.560, 9.476>
7.261    Acceleration: <-1.696, 1.767, -4.046>
7.276    Acceleration: <1.167, 4.854, -11.985>
7.292    Acceleration: <2.721, 3.309, -8.520>
7.308    Acceleration: <4.670, 5.763, -10.686>
7.323    Acceleration: <3.572, 3.062, -6.101>
7.339    Acceleration: <3.281, 4.844, -6.127>
7.355    Acceleration: <3.356, 5.191, -3.328>
7.370    Acceleration: <3.198, 4.205, -2.712>
7.385    Acceleration: <1.834, 2.307, -0.276>
7.401    Acceleration: <0.686, -0.080, 2.063>
7.416    Acceleration: <-2.004, -1.381, 2.048>
7.432    Acceleration: <-1.276, -0.661, 2.530>
7.448    Acceleration: <-0.090, -1.838, 2.152>
7.463    Acceleration: <-0.355, -1.920, 1.666>
7.479    Acceleration: <-0.993, -1.940, 1.258>
7.495    Acceleration: <-1.444, -0.980, 0.947>
7.510    Acceleration: <-0.690, -1.165, 0.725>
7.526    Acceleration: <-0.202, -0.197, -0.144>
7.542    Acceleration: <-0.018, -0.042, -0.005>
7.557    Acceleration: <0.288, -0.047, 0.413>
7.573    Acceleration: <1.090, -0.154, 0.835>
7.589    Acceleration: <0.388, -0.224, 0.462>
7.604    Acceleration: <-0.568, -0.448, 0.927>
7.620    Acceleration: <0.230, -0.226, 0.673>
7.635    Acceleration: <0.376, -0.255, 0.435>
7.650    Acceleration: <0.479, -0.051, 0.139>
7.665    Acceleration: <-0.043, -0.094, -0.576>
7.681    Acceleration: <-0.155, -0.379, 0.085>
7.697    Acceleration: <-0.137, -0.212, 0.115>
7.713    Acceleration: <-0.120, -0.141, 0.329>
7.729    Acceleration: <0.119, -0.377, 0.200>
7.744    Acceleration: <0.105, -0.239, 0.023>
7.760    Acceleration: <0.078, 0.014, 0.331>
7.776    Acceleration: <0.214, -0.064, 0.364>
7.791    Acceleration: <0.214, -0.064, 0.364>
7.807    Acceleration: <0.233, -0.017, 0.519>
7.820    Acceleration: <0.080, 0.446, 0.361>
7.834    Acceleration: <-0.002, 0.513, 0.591>
7.850    Acceleration: <-0.300, 0.221, -0.040>
7.865    Acceleration: <0.209, -0.111, -0.006>
7.881    Acceleration: <0.176, 0.044, 0.224>
7.896    Acceleration: <-0.395, 0.101, 0.010>
7.912    Acceleration: <-0.523, -0.103, -0.551>
7.928    Acceleration: <-0.523, -0.103, -0.551>
